username,password,EmailId,FirstName,LastName,Age,Position,Mobile,DOB,year
19031J0001,500001,ab@gmail.com,a,ab,23,m,9848172360,20-01-1997,2019
19031J0002,500002,bc@gmail.com,b,bc,23,n,1425367890,21-02-1997,2019
19031J0003,500003,cd@gmail.com,c,cd,23,o,2331456980,22-03-1997,2019
19031J0004,500004,de@gmail.com,d,de,23,p,8794562210,23-04-1997,2019
19031J0005,500005,ef@gmail.com,e,ef,23,q,4578963210,24-05-1997,2019
19031J0006,500006,fg@gmailcom,f,fg,23,r,9874123698,25-05-1997,2019
19031J0007,500007,gh@gmailcom,g,gh,23,s,5469874125,26-05-1997,2019
19031J0008,500008,hi@gmailcom,h,hi,23,t,7896541230,27-05-1997,2019
19031J0009,500009,ij@gmailcom,i,ij,23,u,3254789652,28-05-1997,2019
19031J0010,500010,jk@gmailcom,j,jk,23,v,2103654789,29-05-1997,2019
19031J0011,500011,kl@gmailcom,k,kl,23,w,5489756231,30-05-1997,2019
19031J0012,500012,lm@gmailcom,l,lm,23,x,4729475629,31-05-1997,2019
19031J0013,500013,mn@gmailcom,m,mn,23,y,9086125493,01-06-1997,2019
19031J0014,500014,no@gmailcom,n,no,23,z,6748353489,02-06-1997,2019
19031J0015,500015,op@gmailcom,o,op,23,z1,5412398740,03-06-1997,2019
